[2025-07-27 16:21:27.279] [info] Using configuration file /home/dxth/.config/waybar/config.jsonc
[2025-07-27 16:21:27.279] [info] Including resource file: ~/.config/waybar/modules.json
[2025-07-27 16:21:27.279] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.ServiceUnknown: The name org.freedesktop.portal.Desktop was not provided by any .service files
[2025-07-27 16:21:27.279] [info] Using CSS file /home/dxth/.config/waybar/style.css
[2025-07-27 16:21:27.282] [info] Hyprland IPC starting
[2025-07-27 16:21:27.282] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.294] [info] Loading persistent workspaces from Hyprland workspace rules
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1440, height: 42) for output: DP-3
[2025-07-27 16:21:27.302] [info] Bar configured (width: 1920, height: 42) for output: HDMI-A-1
[2025-07-27 16:22:47.920] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:47.920] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:22:47.920] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.739] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.739] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.742] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.743] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.744] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.744] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.744] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:03.745] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:20.490] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:20.490] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:20.493] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:20.493] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:20.501] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:23:20.501] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.743] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.743] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.746] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.746] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.748] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.748] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.748] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:28:14.748] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.538] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.538] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.544] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.544] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.547] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.547] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.547] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:20.547] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:33.906] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:33.906] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:33.909] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:33.909] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:33.911] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:33.911] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.325] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.325] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.328] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.328] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.330] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.330] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.426] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.426] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.430] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.430] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.432] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:36.432] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:52.086] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:52.086] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:52.090] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
[2025-07-27 16:29:52.090] [warning] [wireplumber]: (onMixerChanged: Audio/Sink) - Object with id 44 not found
